Active Ingredient,Days Until Expiry,Storage Temperature (°C),Warning Labels Present,Dissolution Rate (%),Disintegration Time (minutes),Impurity Level (%),Assay Purity (%),Safe/Not Safe,Disease/Use Case,Expiry Date
Aspirin,806.0,22.204400876705584,1.0,92.186912367538,13.151429495233089,0.1879952086434318,104.47616923722376,Safe,"Pain, Inflammation, Heart Disease",2027-11-25 05:58:36.864528
Aspirin,,15.10543717081188,0.0,98.91357750728368,20.42939984567113,0.3834617628605709,91.51753000102644,Not Safe,"Pain, Inflammation, Heart Disease",
Paracetamol,212.0,29.736452060007515,1.0,89.231261510183,17.93524814194152,0.1479686398538227,99.98180324368084,Safe,"Fever, Mild Pain",2026-04-10 05:58:36.864528
Aspirin,197.0,21.9056203067617,1.0,96.12230093890425,17.34683446312514,0.4127228349754697,93.251655201857,Not Safe,"Pain, Inflammation, Heart Disease",2026-03-26 05:58:36.864528
Aspirin,480.0,23.19520149616604,0.0,90.54136917533982,16.868826970609422,0.2846882832612578,100.51104925381728,Safe,"Pain, Inflammation, Heart Disease",2027-01-03 05:58:36.864528
,258.0,28.29478261032144,0.0,89.3559859148119,13.422490133989973,0.040966717256674,93.33551548349276,Not Safe,,2026-05-26 05:58:36.864528
Amoxicillin,688.0,17.408801811279126,0.0,88.92364799311972,3.732885519150632,0.0203075315644548,103.46826001513784,Safe,Bacterial Infections,2027-07-30 05:58:36.864528
Lisinopril,677.0,24.486875237441765,0.0,87.4591706940138,27.202977606481475,0.0738972197610365,93.08801676576664,Not Safe,,2027-07-19 05:58:36.864528
Cetirizine,975.0,19.40133893048958,0.0,81.68064793434252,17.699212922380962,0.2174309826679738,93.68843887365466,Not Safe,"Allergies, Cold Symptoms",2028-05-12 05:58:36.864528
Omeprazole,745.0,22.45972505563559,0.0,99.78174974172404,5.865482661874477,,102.00448885852052,Safe,"Acid Reflux, Gastric Ulcers",2027-09-25 05:58:36.864528
Ciprofloxacin,837.0,16.314182025866153,1.0,84.96571228235254,21.40620328466637,0.0675733511212439,106.5682343265686,Not Safe,,2027-12-26 05:58:36.864528
Atorvastatin,385.0,27.776510136766618,1.0,96.46497530213892,28.329921079098987,0.1276580113948397,99.42537812723128,Safe,High Cholesterol,2026-09-30 05:58:36.864528
Paracetamol,842.0,25.42099089488986,1.0,91.17004766014354,6.28626266960591,0.1344433610425215,102.66836595995504,Safe,"Fever, Mild Pain",2027-12-31 05:58:36.864528
Cetirizine,156.0,17.16073416010957,1.0,88.54081313081642,,0.1081306806337623,104.28741096623774,Safe,"Allergies, Cold Symptoms",2026-02-13 05:58:36.864528
Ibuprofen,386.0,25.92164475019016,1.0,93.19721931619542,23.65055896529666,0.144224942773214,103.8250683575273,Safe,"Pain, Fever, Inflammation",2026-10-01 05:58:36.864528
Metformin,,21.52063446257965,1.0,94.10287534415274,28.042865693906336,0.096323462763346,102.11712156237888,Safe,Type-2 Diabetes,
Cetirizine,494.0,19.212280189736585,1.0,89.4893311594292,29.875250219180067,0.0992718724186354,98.83105043642968,Safe,"Allergies, Cold Symptoms",2027-01-17 05:58:36.864528
Paracetamol,401.0,15.076388818966318,,92.3209588016406,7.4120308478014385,0.0757176178318948,95.71458457720784,Safe,"Fever, Mild Pain",2026-10-16 05:58:36.864528
Ibuprofen,502.0,21.352952131392463,0.0,80.38481104499392,4.588532449565711,0.4698186801763988,92.36409609930864,Not Safe,"Pain, Fever, Inflammation",2027-01-25 05:58:36.864528
Amoxicillin,418.0,24.63578309137268,0.0,85.62560088620421,8.368123953025822,,101.55901984685808,Safe,Bacterial Infections,2026-11-02 05:58:36.864528
Aspirin,735.0,20.28034843149524,0.0,93.06132033592138,1.4007314414468803,0.1313908611898188,100.67851379596306,Safe,"Pain, Inflammation, Heart Disease",2027-09-15 05:58:36.864528
Atorvastatin,332.0,15.25937341431806,0.0,95.2550777437488,7.889311722756725,0.17036109235764,97.60146098282746,Safe,High Cholesterol,2026-08-08 05:58:36.864528
Paracetamol,256.0,16.43001378627679,0.0,80.16998283173604,27.667432741717214,,100.76617172098366,Not Safe,"Fever, Mild Pain",2026-05-24 05:58:36.864528
Ibuprofen,911.0,19.6901887835332,0.0,93.48812946087742,7.470383277087114,0.3541193574098525,97.06051063731528,Not Safe,"Pain, Fever, Inflammation",2028-03-09 05:58:36.864528
,51.0,25.12336746362429,1.0,99.86822199127865,9.57759627845924,0.4083606884383089,90.83042625184632,Not Safe,,2025-10-31 05:58:36.864528
Ciprofloxacin,50.0,26.52675188142188,1.0,,15.783559227369246,0.2857272644336994,94.25791363669654,Not Safe,,2025-10-30 05:58:36.864528
Omeprazole,767.0,15.955139968694404,1.0,95.67046359240136,16.998483911996644,0.1695331616346484,103.59842819478288,Safe,"Acid Reflux, Gastric Ulcers",2027-10-17 05:58:36.864528
Amoxicillin,416.0,18.868424927210565,0.0,81.39653947082152,29.25257550963202,0.0201203209052491,94.1239611392229,Not Safe,Bacterial Infections,2026-10-31 05:58:36.864528
Aspirin,302.0,18.139921068343785,0.0,82.14411213090489,27.23144752720934,0.4658322761395077,,Not Safe,"Pain, Inflammation, Heart Disease",2026-07-09 05:58:36.864528
Ibuprofen,44.0,28.170604451116148,0.0,88.35067412681641,3.5224461928900457,0.2375589956554009,102.13951755660884,Safe,"Pain, Fever, Inflammation",2025-10-24 05:58:36.864528
Metformin,777.0,,1.0,95.7380360126472,,0.3115117774837632,107.1216975549206,Not Safe,Type-2 Diabetes,2027-10-27 05:58:36.864528
Cetirizine,61.0,22.46869391350932,1.0,99.29386637607286,17.546903882706907,0.1925906069630529,101.93129772422084,Safe,"Allergies, Cold Symptoms",2025-11-10 05:58:36.864528
Paracetamol,977.0,18.32046908313921,0.0,98.89602052914326,1.5879668594975684,0.1334991998690093,,Safe,"Fever, Mild Pain",2028-05-14 05:58:36.864528
Atorvastatin,124.0,15.80873068737446,1.0,96.8091628666386,16.424415308124278,,99.07975918587186,Safe,High Cholesterol,2026-01-12 05:58:36.864528
Amoxicillin,,,1.0,87.32797099770166,5.797912921648578,0.4181180084948476,99.33544693099051,Not Safe,Bacterial Infections,
